garden_id,garden_name,garden_subtitle,garden_image,hotspot_id,hotspot_x,hotspot_y,hotspot_w,hotspot_h,hotspot_label,hotspot_description,common_name,latin_name,plant_type
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc1,3,20,32,50,West Lawn & Specimens,A formal lawn with a collection of ornamental flowering trees.,Magnolia,Magnolia × soulangeana,tree
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc1,3,20,32,50,West Lawn & Specimens,A formal lawn with a collection of ornamental flowering trees.,Japanese Cherry,Prunus 'Tai-haku',tree
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc1,3,20,32,50,West Lawn & Specimens,A formal lawn with a collection of ornamental flowering trees.,Camellia,Camellia japonica,shrub
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc1,3,20,32,50,West Lawn & Specimens,A formal lawn with a collection of ornamental flowering trees.,Pieris,Pieris japonica,shrub
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc2,36,18,38,55,Central Courtyard,Mature trees providing dappled shade for the café seating area.,English Oak,Quercus robur,tree
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc2,36,18,38,55,Central Courtyard,Mature trees providing dappled shade for the café seating area.,Horse Chestnut,Aesculus hippocastanum,tree
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc2,36,18,38,55,Central Courtyard,Mature trees providing dappled shade for the café seating area.,Cornus kousa,Cornus kousa,tree
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc2,36,18,38,55,Central Courtyard,Mature trees providing dappled shade for the café seating area.,Hydrangea,Hydrangea paniculata,shrub
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc2,36,18,38,55,Central Courtyard,Mature trees providing dappled shade for the café seating area.,Astilbe,Astilbe × arendsii,perennial
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc3,38,5,55,12,Café Terrace,Outdoor seating with containers and climbers on the building.,Star Jasmine,Trachelospermum jasminoides,climber
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc3,38,5,55,12,Café Terrace,Outdoor seating with containers and climbers on the building.,Bay,Laurus nobilis,tree
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc3,38,5,55,12,Café Terrace,Outdoor seating with containers and climbers on the building.,Olive,Olea europaea,tree
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc4,60,60,30,30,South-East Border,Mixed border with shrubs and perennials for late-season colour.,Ceanothus,Ceanothus 'Concha',shrub
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc4,60,60,30,30,South-East Border,Mixed border with shrubs and perennials for late-season colour.,Gaura,Gaura lindheimeri,perennial
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc4,60,60,30,30,South-East Border,Mixed border with shrubs and perennials for late-season colour.,Japanese Maple,Acer palmatum,tree
cafe_courtyard,Café Courtyard,Rosalind Franklin Building courtyard and café terrace,images/Cafe_courtyard_RFB.png,cc4,60,60,30,30,South-East Border,Mixed border with shrubs and perennials for late-season colour.,Crocosmia,Crocosmia 'Lucifer',bulb
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg1,38,30,28,50,Rose Parterre,Formally arranged beds with box hedging and central roundel with symmetrical rose beds.,David Austin Rose,Rosa 'Gertrude Jekyll',shrub
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg1,38,30,28,50,Rose Parterre,Formally arranged beds with box hedging and central roundel with symmetrical rose beds.,Floribunda Rose,Rosa 'Iceberg',shrub
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg1,38,30,28,50,Rose Parterre,Formally arranged beds with box hedging and central roundel with symmetrical rose beds.,Box,Buxus sempervirens,hedge
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg1,38,30,28,50,Rose Parterre,Formally arranged beds with box hedging and central roundel with symmetrical rose beds.,Allium,Allium 'Purple Sensation',bulb
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg1,38,30,28,50,Rose Parterre,Formally arranged beds with box hedging and central roundel with symmetrical rose beds.,Peony,Paeonia lactiflora,perennial
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg1,38,30,28,50,Rose Parterre,Formally arranged beds with box hedging and central roundel with symmetrical rose beds.,Delphinium,Delphinium elatum,perennial
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg2,5,15,32,65,Great Lawn,The principal formal lawn maintained as a fine turf area.,Fine Fescue mix,Festuca rubra / Agrostis,perennial
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg3,18,82,60,10,Yew Hedge Row,The defining structural element — a row of mature clipped yew cubes.,Yew,Taxus baccata,hedge
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg4,38,6,25,22,Entrance Steps,Symmetrical container plantings flanking the stone steps.,Agapanthus,Agapanthus africanus,bulb
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg4,38,6,25,22,Entrance Steps,Symmetrical container plantings flanking the stone steps.,Rosemary,Salvia rosmarinus,shrub
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg4,38,6,25,22,Entrance Steps,Symmetrical container plantings flanking the stone steps.,Santolina,Santolina chamaecyparissus,shrub
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg5,68,20,28,60,Herbaceous Border,A deep south-facing border with traditional English herbaceous perennials.,Delphiniums,Delphinium elatum hybrids,perennial
